DATAFLOW,LAST UPDATE,freq,unit,accident,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,EL,2009,2,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,EL,2010,4,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,EL,2011,1,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,EL,2012,2,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,EL,2013,1,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,EL,2014,1,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,EL,2015,1,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,ES,2004,5,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,ES,2005,6,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,ES,2006,7,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,ES,2007,4,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,ES,2008,5,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,ES,2009,5,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,ES,2010,4,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,ES,2011,11,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,ES,2012,7,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,ES,2013,9,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,ES,2014,9,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,ES,2015,5,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FI,2004,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FI,2005,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FI,2006,2,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FI,2007,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FI,2008,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FI,2009,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FI,2010,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FI,2011,2,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FI,2012,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FI,2013,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FI,2014,1,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FI,2015,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FR,2004,13,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FR,2005,9,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FR,2006,10,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FR,2007,85,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FR,2008,8,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FR,2009,7,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FR,2010,15,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FR,2011,12,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FR,2012,18,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FR,2013,10,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FR,2014,23,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,FR,2015,27,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HR,2004,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HR,2005,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HR,2006,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HR,2007,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HR,2008,3,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HR,2009,1,
